Task Name,Description,Assignee,Due Date,Priority,Section,Tags,Notes
Determine networking event pricing,Decide if included in conference ticket add-on purchase or free for sponsors,,Month -5,Medium,Networking Event Planning,networking;tickets,Coordinate with Finance on ticketing approach
Plan networking event food/beverage,Choose appetizers vs buffet drink options (hosted bar drink tickets cash bar) and dietary options,,Month -5,Medium,Networking Event Planning,networking;planning,Balance cost with quality experience
Design registration flow,Plan check-in stations badge pickup lanyard station swag distribution signage and space for belongings,,Month -4,High,Registration & Volunteer Planning,registration;planning,Three-station flow: check-in then badge pickup then shirt pickup by poker chip. 3-table bubble leaves room for backpacks
Test check-in process,End-to-end test of registration platform badge printing and workflow,,Month -4,High,Registration & Volunteer Planning,registration;testing,Test thoroughly including edge cases
Plan for registration edge cases,Prepare for: name not in system badge printer failure late registrations comp tickets day 2 badge loss,,Month -4,Medium,Registration & Volunteer Planning,registration;planning,LESSON: Registration bot fails on corporate bulk purchases. Manual override ready
Order badges,Order badges from ConferenceBadges.com (template print-ahead plus day-of printing) plus holders lanyards blank badges and a label printer,,Week -4,High,Registration & Volunteer Planning,registration;supplies,LESSON: Badge orders tend to slip to the final two weeks. Order earlier
Organize badge stuffing,Sort badges alphabetically. Add poker chips for shirt pickup conference info and sponsor materials,,Week -1,High,Registration & Volunteer Planning,registration;prep,Chips inside badges work but need a real pre-sorting system; decide the distribution method early
Determine volunteer needs,Calculate volunteer coverage needed for registration swag A/V rooms food crowd setup and breakdown,,Month -4,High,Registration & Volunteer Planning,volunteers;planning,LESSON: Need shifts/rotations. One person shouldn't run A/V all conference alone
Recruit volunteers,Ask community via email/social media. Contact previous volunteers and student organizations,,Month -4,Medium,Registration & Volunteer Planning,volunteers;recruitment,Offer volunteer benefits: free ticket special swag recognition
Create volunteer schedule,Build 2-3 hour shift schedule with coverage for all critical times and backup coverage,,Month -3,Medium,Registration & Volunteer Planning,volunteers;scheduling,Clear shift transitions important
Brief volunteers,Meeting before or morning of conference to review roles responsibilities emergency procedures and escalation,,Week -1,High,Registration & Volunteer Planning,volunteers;training,Provide volunteer t-shirt or identifier
Decide on hotel room block,Decide whether to run a hotel room block and set it up if yes,,Month -4,Medium,Final Preparations,venue;lodging,This question tends to drift unresolved. Decide it early
Confirm venue access times,Verify setup times and load-in procedures. Confirm parking arrangements,,Month -2,High,Final Preparations,venue;logistics,Access is Friday-Sunday 6:00 AM to 7:00 PM with no Thursday access. Ask the library for reserved organizer parking
Get venue contact phone numbers,Collect venue staff contacts key/access distribution emergency procedures and WiFi credentials,,Month -2,Medium,Final Preparations,venue;logistics,Day-of emergency contacts critical
Schedule venue walkthrough,Pre-conference walkthrough with venue contact to review all logistics and procedures,,Week -2,High,Final Preparations,venue;logistics,Final verification everything ready
Order linens,Rent table linens from American Party Rental. The library provides none. Reuse last year's invoice,,Week -4.5,Medium,Final Preparations,venue;rentals,Include two 8-foot tablecloths for the bar
Review A/V equipment list,Confirm equipment list with vendor matches needs. Verify all items included,,Month -2,High,Final Preparations,av;coordination,No surprises on conference days
Confirm A/V on-site schedule,Verify tech support coverage for Friday Saturday Sunday. Arrival times at least 2 hours before doors,,Month -2,High,Final Preparations,av;coordination,On-site support essential for issues
Test A/V equipment,Week before conference test projectors microphones recording livestream speaker timer if possible,,Week -1,High,Final Preparations,av;testing,LESSON: Remind vendor about mic checks! Test the stream at least a week ahead
Coordinate speaker tech check process,Align with Speaker Committee on tech check windows backup dongles and on-deck table procedure,,Week -1,High,Final Preparations,av;coordination,Windows are Friday before 9 AM or at lunch. Have Dell Apple HP dongles ready
Provide final head counts to caterers,Send Friday Saturday Sunday numbers with 10% buffer. Confirm delivery times,,Week -1,High,Final Preparations,catering;logistics,Delivery MUST be 10+ min before doors open!
Review catering delivery logistics,Confirm delivery locations setup areas and delivery timing. Review allergen labeling,,Week -1,Medium,Final Preparations,catering;logistics,Coordinate with load-in schedule
Confirm ice delivery,Order ice online for pickup. Arrange transportation to venue,,Week -1,Medium,Final Preparations,catering;beverages,LESSON: Ordering ice online works well
Decide leftover food policy,Set the leftover-food policy in advance rather than day-of,,Week -1,Low,Final Preparations,catering;planning,Standing policy: give leftovers to library staff
Research lunch restaurant options,Select 4-6 restaurants with variety of cuisines prices and dietary options. Note walking times,,Week -2,High,Final Preparations,logistics;food,LESSON: Lunch locations MUST be decided before conference!
Call lunch restaurants,Give heads-up about conference timing expected group sizes and ask about reservations or call-ahead,,Week -1,Medium,Final Preparations,logistics;food,LESSON: Some take a long time even when empty. Check Sunday opening hours
Create lunch location signage,Design signs with restaurant name cuisine walking time dietary options and assigned organizer,,Week -1,High,Final Preparations,logistics;food;signage,Assign organizers to lead groups with flags for visibility
Plan signage on Miro board,Map ~6 standing signs and 5-10 single-page signs on a Miro board. Check whether the library owns sign holders,,Week -2,Medium,Final Preparations,signage;planning,Print the final week with proofs shared for review
Confirm networking event head count,Provide final attendance number to networking venue. Confirm menu and service,,Week -1,High,Final Preparations,networking;logistics,Verify head count deadline met
Plan networking event entry process,Set up ticket verification wristbands/stamps greeter volunteers and attendee list for check-in,,Week -1,Medium,Final Preparations,networking;logistics,Smooth entry creates good first impression
Create setup checklist for each day,Detailed checklist with assigned responsibilities for registration signage A/V food swag sponsors,,Week -1,High,Final Preparations,setup;planning,Organization prevents chaos
Gather supplies and emergency kit,Collect extension cords power strips gaffer tape scissors markers paper first aid chargers dongles trash bags,,Week -1,High,Final Preparations,setup;supplies,LESSON: LOTS of power strips needed especially for tutorials!
Arrive for Friday setup,Organizers arrive at 6:00 AM venue access. Set up registration tutorial room and catering stations,,Day 0 (Friday),High,Conference Days - Friday,setup;day-of,Setup happens Friday morning in parallel with tutorials. There is no Thursday access
Photograph venue property at load-in,Photograph venue furniture and equipment condition during load-in,,Day 0 (Friday),Medium,Conference Days - Friday,venue;setup,Pair with load-out photos to avoid damage disputes
Set up registration table,2 check-in laptops power badges organized alphabetically lanyard stands signage and space for backpacks,,Day 0 (Friday),High,Conference Days - Friday,registration;setup,LESSON: Use lanyard STANDS not tangled pile!
Set up tutorial room,Power strips at ALL tables test outlets verify projector test mics set timer water for instructors,,Day 0 (Friday),High,Conference Days - Friday,tutorials;setup,LESSON: Power at EVERY table CRITICAL for tutorials!
Set up Friday catering,Receive breakfast delivery set up coffee and food display allergen signage plates/utensils trash cans,,Day 0 (Friday),High,Conference Days - Friday,catering;setup,Delivery should arrive 10+ min before doors
Staff registration desk Friday,Continue check-in for late tutorial arrivals. Handle badge issues,,Day 0 (Friday),Medium,Conference Days - Friday,registration;operations,Registration hours Friday 9-12 and 2-5. Lower volume than Saturday
Monitor tutorials,Check on instructors ensure A/V working monitor temperature coordinate breaks restock during breaks,,Day 0 (Friday),Medium,Conference Days - Friday,tutorials;operations,Be available for tech issues. Run the Costco + HEB supply run during the morning tutorial
Arrive for Saturday setup,Organizers arrive 6:00 AM. Set up registration main hall A/V catering and signage,,Day 1 (Saturday),High,Conference Days - Saturday,setup;day-of,2 hours before 8 AM doors opening
Set up Saturday registration,2 laptops badges alphabetically lanyard stands swag table (separate) backup printer clear signage,,Day 1 (Saturday),High,Conference Days - Saturday,registration;setup,Reorganize into 3-table bubble for backpack space. Everything set by 8:00 exactly
Set up main hall A/V,Test projector confidence monitors mics speaker timer livestream on-deck table Slido backup dongles,,Day 1 (Saturday),High,Conference Days - Saturday,av;setup,A/V vendor should arrive at least 2 hours before doors
Set up Saturday catering,Receive breakfast set up TWO food lines allergen signage coffee water/soda with ice trash cans,,Day 1 (Saturday),High,Conference Days - Saturday,catering;setup,LESSON: People don't realize 2 lines! Volunteer to direct traffic
Post signage,Sponsor signs food/allergen signs lunch locations with walking times badge required on-deck directional signs,,Day 1 (Saturday),High,Conference Days - Saturday,signage;setup,Lunch signs CRITICAL
Staff registration desk all day,Continue late check-ins handle badge issues help find sessions answer questions,,Day 1,Medium,Conference Days - Saturday,registration;operations,LESSON: Lot of people forget badges day 2! Blank badges and loaner lanyards ready
Monitor A/V in shifts,Watch livestream audio issues coordinate with vendor on problems ensure timer visible reset Slido,,Day 1,High,Conference Days - Saturday,av;operations,LESSON: Create SHIFTS! One person shouldn't monitor A/V all day
Manage catering throughout day,Monitor food/beverage levels restock during breaks emergency supply runs track consumption clear containers,,Day 1,Medium,Conference Days - Saturday,catering;operations,Know nearest Costco for emergency runs
Monitor room conditions,Watch temperature address noise issues (hallway echo!) coordinate breaks keep traffic flowing,,Day 1,Medium,Conference Days - Saturday,venue;operations,LESSON: Hallway echo LOUD. Consider sound deadening or pipe/drape
Post lunch location signs,Display signs prominently. Have organizers with flags ready to lead groups,,Day 1,High,Conference Days - Saturday,logistics;operations,Put the restaurant map on a slide before dismissal
Host Saturday networking event,Arrive early coordinate with venue verify food/drinks check tickets welcome attendees facilitate networking,,Day 1 evening,High,Conference Days - Saturday,networking;operations,Monitor capacity coordinate with venue take photos
Same as Saturday with adjustments,Repeat Saturday operations. Extra blank badges for forgotten badges. Review and adjust based on Saturday issues,,Day 2 (Sunday),High,Conference Days - Sunday,day-of;operations,LESSON: Many forget badges on day 2!
Teardown after closing,Assign tasks pack equipment photograph returns organize leftover swag clean venue final library check load vehicles,,Day 2 (Sunday),High,Conference Days - Sunday,teardown;operations,LESSON: Photograph venue property at load-out. Leftover food goes to library staff
Return borrowed equipment,Return all borrowed items with photographic documentation of condition,,Week +1,Medium,Post-Conference Close-Out,equipment;returns,Proof of condition prevents disputes
Process final vendor invoices,Collect and review invoices from venue A/V catering networking event. Coordinate payment with Finance,,Week +1,High,Post-Conference Close-Out,vendors;payments,Verify accuracy before payment. Final A/V installment historically due ~3.5 weeks after
Thank volunteers,Public social media thanks and email to each volunteer. Ask for feedback,,Week +1,High,Post-Conference Close-Out,volunteers;thanks,Recognition important for retention
Thank venue staff,Email thank you to library staff and venue contacts,,Week +1,Medium,Post-Conference Close-Out,venue;thanks,Good relationships matter for future years
Evaluate A/V vendor,Document equipment quality support quality responsiveness value and would-use-again decision,,Week +2,High,Post-Conference Close-Out,av;vendors;retrospective,Critical for next year's vendor selection
Evaluate catering,Document food quality dietary accommodations timing/reliability value and would-use-again decision,,Week +2,Medium,Post-Conference Close-Out,catering;vendors;retrospective,Count leftovers to calibrate future quantities
Evaluate venue,Document if space worked well staff support value issues and would-use-again decision,,Week +2,High,Post-Conference Close-Out,venue;retrospective,Major decision for next year
Hold committee retrospective,Review what went well and what needs improvement across registration A/V food volunteers networking venue,,Week +2,High,Retrospective & Planning,retrospective,Honest assessment creates better future
Update venue checklists,Add lessons learned and update all operational checklists based on actual experience,,Week +3,High,Retrospective & Planning,documentation;retrospective,Continuous improvement
Update vendor contact list,Refresh vendor contacts with notes on quality reliability and recommendations,,Week +3,Medium,Retrospective & Planning,documentation;retrospective,Organized vendor database valuable
Update catering quantity recommendations,Document actual consumption by item to improve future ordering,,Week +3,Low,Retrospective & Planning,documentation;retrospective,Calibration: expect 40-50 lb of bananas consumed across the weekend
Update volunteer role descriptions,Refine volunteer roles based on what worked and what was needed,,Week +3,Low,Retrospective & Planning,documentation;retrospective,Better volunteer experience next year
Update venue runbook,Add all lessons learned update processes update emergency procedures update templates,,Week +3,High,Retrospective & Planning,documentation;retrospective,Knowledge transfer for future years
