Task Name,Description,Assignee,Due Date,Priority,Section,Tags,Notes
Run sponsor countdown posts,Daily sponsor posts across the final two weeks with one sponsor per slot,,Week -2 to 0,High,Sponsor Campaigns,sponsors;social-media,Contractual obligation is one shoutout; practice is one before plus one during
Build day-of and post-event forms,Create lightning talk signup forms the feedback form and the organizer-interest form,,Week -1,High,Final Push,forms,Lightning talk forms are per-day Google Forms
Post live social coverage,Post throughout the conference: opening speakers sponsors community moments. Monitor the hashtag,,Day 0 to 2,High,Conference Days,social-media;live,Speaker links in Discord are posted by one designated operator with a trained backup; Community owns that duty
Post end-of-day wrap,Publish a wrap post each conference day from the reusable template,,Day 0 to 2,Medium,Conference Days,social-media;live,Template lives with the sponsor marketing materials
Take conference photos,Photograph opening sessions speakers sponsor booths attendees and organizers,,Day 0 to 2,Medium,Conference Days,photos;content,Get photo permissions and back up regularly
Post conference wrap-up,Share thank-you messages and highlights on social media and the website,,Week +1,High,Post-Conference,social-media;communications,Thank attendees speakers and sponsors publicly
Promote post-event survey,Push the survey that launches on the last conference day,,Week +1,High,Post-Conference,survey;social-media,Responses arrive over about two weeks
Export Buffer analytics and file photos,Export post analytics from Buffer and file photos in the year's Drive folder,,Week +2,Medium,Post-Conference,analytics;photos,Feed findings into the retro
Update marketing runbook,Add lessons learned and adjust the timeline based on actual experience,,Week +2,High,Post-Conference,documentation;retrospective,Bring marketing lessons to the retro meeting
Archive design assets,Save designs logos graphics and templates for next year,,Week +3,Medium,Post-Conference,documentation;archive,The Canva campaign template is explicitly reusable
Publish talk recordings,Flip each vendor-delivered unlisted YouTube video public AND flip the playlist public,,Month +2 to +3,High,Replay,recordings;youtube,Both steps are needed; the pyvideo.org PR is handled by a community volunteer
Run replay drip campaign,Promote one recorded talk per week every Wednesday for ~16 weeks across five platforms with a GIF per talk,,Month +3,Medium,Replay,social-media;recordings,Plan the calendar first then write copy; Mastodon GIFs need 720px minimum
