Task Name,Description,Assignee,Due Date,Priority,Section,Tags,Notes
Decide keynote invite order,Decide the ordered invite list from the rankings doc as a team,,Month -5.5,High,CFP Launch,keynote;selection,Invitations often go several names deep; the ranked backup list is the plan
Reach out to keynote candidates,Work down the invite list in order with clear offers and follow-up cadence,,Month -5.5 to -5,High,CFP Launch,keynote;outreach,Target keynotes confirmed by Month -5; some candidates take weeks to respond
Send CFP reminders,Schedule reminder pushes mid-window and a countdown in the final week before close,,Month -6 to -4.5,Medium,CFP Launch,cfp;communications,Include Texas meetup lists in the mid-window push
Monitor CFP submissions,Track submission volume answer submitter questions and offer CFP-writing help via Discord,,Month -6.5 to -4.5,Medium,CFP Launch,cfp;support,Expect a few dozen submissions over the 9-10 week window
Close CFP submissions,Close Pretalx at the deadline in early December and prepare for review,,Month -4.5,High,CFP Review & Selection,cfp;platform,A short extension is an option if volume is low near the deadline
Review talks in Pretalx,Reviewers vote in Pretalx over at least 2 full weeks (usually across the holidays),,Month -4.5 to -4,High,CFP Review & Selection,cfp;reviewers,Monitor progress and send reminders
Hold selection meeting,Meet in person to pick the lineup and build an ordered waitlist with top candidates flagged,,Month -4,High,CFP Review & Selection,cfp;selection,Target around 14-15 talks for the single track
Send speaker information form,Send the speaker info form to accepted speakers at acceptance time to collect name socials photo and logistics,,Month -4,High,CFP Review & Selection,speakers;communications,Collect this at acceptance; chasing it later is painful
Prepare acceptance emails,Draft acceptance email with confirmation deadline speaker info form link and next steps,,Month -4,High,CFP Review & Selection,cfp;communications,Use the template in the runbook
Prepare rejection emails,Write kind rejection email thanking submitters and inviting future submissions,,Month -4,Medium,CFP Review & Selection,cfp;communications,Keep it encouraging
Send speaker notifications,Email acceptances around the new year with a hard confirmation deadline of about 2 weeks,,Month -3.5,High,CFP Review & Selection,cfp;communications,MILESTONE: reject everything below the waitlist promptly
Track speaker confirmations,Monitor confirmations promote from the ordered waitlist on declines and offer standby speakers free tickets,,Month -3.5 to -3,High,CFP Review & Selection,cfp;tracking,Late dropouts happen even after the schedule is final; hold ordered alternates
Confirm tutorials,Confirm all tutorial presenters and their prework or prerequisite communications,,Week -11 to -9,High,Schedule Building & Support,tutorials;planning,Plan on two community tutorials plus a possible sponsored workshop
Create draft schedule,Build the schedule in 30-minute blocks (25-minute talk plus 5 minutes of Q&A and setup) with keynotes after opening remarks and a 20-minute sponsored talk before lunch,,Week -10,High,Schedule Building & Support,schedule;planning,Coordinate lunch and breaks with Venue
Place sponsor pitches,Coordinate with Finance to slot sponsor pitches by tier spaced across the days,,Week -10,Medium,Schedule Building & Support,schedule;sponsors,Platinum pitches Saturday; Gold/Silver Sunday
Present proposed schedule,Present the draft schedule to the organizers for feedback and conflict checks,,Week -8,High,Schedule Building & Support,schedule;review,Also conflict-check with speakers before publishing
Finalize and publish schedule,Lock the schedule and publish it with Marketing,,Week -7,High,Schedule Building & Support,schedule;announcement,The PSF grant application requires a published schedule
Get program software quotes,Request single-event quotes for Slido (Q&A) and StageTimer (speaker timing),,Week -7.5,Medium,Schedule Building & Support,schedule;tools,One StageTimer login is enough
Coordinate opportunity grants,Work with Finance on grant review; accepted speakers requesting support get priority,,Week -12 to -8.5,Medium,Schedule Building & Support,grants;speakers,Applications close about Week -8.5 with a special review meeting the next day
Send schedule to speakers,Email speakers their confirmed slots and the published schedule link,,Week -7,Medium,Schedule Building & Support,speakers;communications,Set expectations early
Create speaker KBYG,Write or update the speaker guide: slot Discord role slide upload tech-check windows green room and Friday dinner,,Week -3,High,Final Coordination,speakers;documentation,Speakers don't read emails; the KBYG is a reference not the briefing
Send speaker KBYG,Send the KBYG about 2 weeks out,,Week -2,High,Final Coordination,speakers;communications,Two weeks out is the floor; earlier is better
Open slide-upload folder,Open the shared Drive folder and ask each speaker for a text file of technical terms for caption prep,,Week -2,High,Final Coordination,speakers;tech,USB-C is the preferred connection; stage backup dongles (Dell Apple HP)
Build lightning talk forms,Create per-day lightning talk signup Google Forms with 8-9 slots per day,,Week -1,Medium,Final Coordination,speakers;lightning-talks,Submissions exceed slots; organizers curate an ordered subset
Confirm Friday dinner RSVPs,Confirm the speaker headcount for the Friday appreciation dinner with the Venue Committee,,Week -2,Medium,Final Coordination,speakers;dinner,Dinner covers speakers sponsors organizers and Friends of PyTexas
Send final logistics email,Email speakers final reminders: arrival on-deck rule tech-check windows and contacts,,Week -1,High,Final Coordination,speakers;communications,Last written touchpoint before the in-person briefing
Run Friday tech checks,Offer speaker tech checks Friday before 9:00 or at lunch,,Day 0 (Friday),High,Conference Days,speakers;tech,Weekend checks are catch-as-catch-can between stage events
Brief tutorial instructors,Welcome instructors and verify room setup before each session,,Day 0 (Friday),High,Conference Days,tutorials;day-of,Power strips at every table
Brief speakers at Friday dinner,Brief speakers in person at the Friday appreciation dinner,,Day 0 (Friday),High,Conference Days,speakers;briefing,Speakers don't read emails; this is the real briefing
Set up green room,Coordinate with Venue on location and stock with water snacks power and seating,,Day 0,High,Conference Days,speakers;venue,Check the green room before each talk block
Set up on-deck table,Place the table near the stage with clear signage and backup dongles ready,,Day 0,High,Conference Days,speakers;venue,The on-deck rule keeps the conference on schedule
Check in speakers on arrival,Welcome each speaker and walk through slot mic timer and the on-deck rule,,Day 0 to 2,High,Conference Days,speakers;coordination,Track arrivals against the schedule
Manage on-deck table,Seat the next speaker when the prior talk begins and tech check during the 5-minute changeover,,Day 0 to 2,High,Conference Days,speakers;coordination,The most important speaker coordination process
Coordinate with A/V team,Handle laptop swaps connections StageTimer and audio with the A/V vendor,,Day 0 to 2,High,Conference Days,speakers;av;tech,USB-C preferred; backup dongles for Dell Apple HP
Monitor talk timing,Give time warnings via StageTimer and never let the schedule run early,,Day 0 to 2,Medium,Conference Days,speakers;timing,Keep Python trivia ready as filler
Run lightning talks,Curate an ordered subset from the day's signup form and run the block,,Day 1 to 2,Medium,Conference Days,speakers;lightning-talks,Saturday before close; Sunday around 4:45
Collect slides after talks,Request slides from speakers for posting and note no-share preferences,,Day 0 to 2,Medium,Conference Days,speakers;content,Respect speaker preferences
Thank speakers after talks,Personally thank each speaker after their presentation,,Day 0 to 2,High,Conference Days,speakers;thanks,Small gesture that lands
Public speaker thanks,Thank all speakers in closing remarks and on social,,Day 2,High,Conference Days,speakers;thanks,Coordinate social posts with Marketing
Request remaining slides,Email speakers for outstanding slides with a reasonable deadline,,Week +1,Medium,Post-Conference Wrap-Up,speakers;content,Follow up with stragglers and respect opt-outs
Distribute per-speaker feedback,Compile Slido and feedback-form data into a per-speaker feedback links doc and send it out,,Week +1 to +2,Medium,Post-Conference Wrap-Up,speakers;feedback,Speakers value seeing their own numbers and comments
Coordinate video recordings,Check recording quality with the A/V vendor; the vendor delivers unlisted YouTube videos,,Week +1,High,Post-Conference Wrap-Up,speakers;content,Each video AND the playlist must be flipped public
Send speaker survey,Survey speakers on their experience and what to improve,,Week +1,Medium,Post-Conference Wrap-Up,speakers;feedback,Feeds the retro
Announce recordings available,Email speakers their published links and post on social with Marketing,,Week +4,Medium,Post-Conference Wrap-Up,speakers;content;communications,Recordings also land on pyvideo.org via a manual PR
Update past-speaker Google Group,Add this year's speakers to the per-year past-speaker Google Group,,Week +2,Medium,Retrospective & Planning,speakers;cfp,Feeds next year's direct CFP invitations
Update speaker runbook,Add lessons learned and update CFP questions KBYG and email templates,,Week +3,High,Retrospective & Planning,speakers;documentation,Knowledge transfer for future years
Update reviewer list,Refresh the reviewer list for next year,,Week +3,Low,Retrospective & Planning,cfp;reviewers,Keep the review team strong
Archive proposals and reviews,Save this year's submissions and review data for future reference,,Week +3,Low,Retrospective & Planning,cfp;archive,Useful for trend analysis
