Task Name,Description,Assignee,Due Date,Priority,Section,Tags,Notes
Open opportunity grant application,Publish the grant application form about 4 months out and announce it with Marketing,,Month -4,Medium,Ticket Strategy & Registration,grants;opportunity,Publish a per-person guidance range on the form. See grants runbook
Launch early bird tickets,Open early bird sales on Pretix December 1 across all channels with Marketing and Community,,December 1,High,Ticket Strategy & Registration,tickets;launch,MILESTONE: Monitor sales closely from day 1
Monitor weekly ticket sales,Track sales against projections calculate revenue estimate final attendance,,Month -4.5 to 0,High,Ticket Strategy & Registration,tickets;tracking,Report stats at every meeting. Registration stays open through the conference; only a sellout closes it
File weekly Pretix accounting reports,Export the Pretix accounting report to PDF and file it in the Finance Reports folder,,Week -14 to 0,High,Ticket Strategy & Registration,finance;reporting,Every Monday from about 14 weeks out through conference week
Document sponsor deliverables,For each committed sponsor list all deliverables timeline and responsibility,,Month -5 to -2,High,Ticket Strategy & Registration,sponsorship;tracking,Logo placement booth tickets pitch swag deadline etc
Track sponsor ticket redemption,Verify that sponsors actually redeem their included tickets,,Month -3 to 0,High,Ticket Strategy & Registration,sponsorship;tracking,LESSON: Two sponsors never redeemed theirs in 2025 - caused confusion!
Transition to regular pricing,Switch from early bird to regular pricing mid-January. Announce change,,Week -12.5,Medium,Ticket Strategy & Registration,tickets;pricing,Run a countdown campaign with Marketing the week before
Track corporate sales,Identify companies sending multiple attendees. Offer bulk corporate packages,,Month -4 to -1,Low,Ticket Strategy & Registration,tickets;corporate,Consider custom invoicing for large orders
Check in with sponsors on deliverables,Regular contact about logos booth requirements swag deadlines ticket redemption and pitches,,Month -4 to -1,High,Ticket Strategy & Registration,sponsorship;coordination,Cross-committee coordination matters
Send sponsor updates,Email sponsors with conference countdown ticket sales updates and upcoming deadlines,,Month -4 to -1,Medium,Ticket Strategy & Registration,sponsorship;communications,Keep sponsors engaged and informed
Close opportunity grant applications,Close the application form and prepare the responses sheet for review,,Week -8.5,Medium,Ticket Strategy & Registration,grants;opportunity,Review in a dedicated special meeting the NEXT DAY not the regular meeting
Notify grant recipients,Email applicants with decisions and next steps,,Week -8,Medium,Ticket Strategy & Registration,grants;opportunity,Speakers auto-priority; comp tickets for local ticket-only requests
Fulfill opportunity grants,Send funds comp tickets and track each recipient to completion,,Week -8 to -5,Medium,Ticket Strategy & Registration,grants;opportunity,Track Email Sent / Funds Sent / Ticket Sent per applicant
Pay venue balance,Final venue payment due about 3 months before the conference. Review invoice and process payment,,Month -3,High,Final Vendor Payments,venue;payments,Track payment confirmation
Track A/V vendor payments,Pay the deposit at booking an installment near the event and the final installment after,,Month -3 to +1,High,Final Vendor Payments,av;payments,Final installment lands about 3.5 weeks post-conference. Keep due dates in the Upcoming Deadlines block
Track swag vendor payments,Process payments for shirt sticker badge and lanyard orders as Venue places them,,Week -8 to -2.5,Medium,Final Vendor Payments,swag;payments,Remind vendors of 501(c)(3) sales-tax exemption. Hold sponsor-funded orders (lanyards) until the sponsor pays
Pay catering and dinner deposits,Process deposits for catering the appreciation dinner and the network event,,Week -6.5,Medium,Final Vendor Payments,networking;payments,Deposits run roughly half of each total
Buy event insurance,Purchase event insurance through The Event Helper,,Week -4.5,High,Final Vendor Payments,venue;insurance,HARD DEADLINE. 2026 met it only because it headlined the deadlines block
Update budget weekly,Enter actual revenue and expenses calculate variances and monitor cash flow,,Month -4 to +2,High,Final Vendor Payments,budget;tracking,Read the bottom line at each planning meeting
Share financial reports,Compile and distribute budget status to the Conference Chair and organizers,,Month -4 to +2,High,Final Vendor Payments,budget;reporting,Balances are read aloud at meetings never written into shared docs
Monitor cash flow,Ensure sufficient funds for upcoming large payments. Track timing of revenue vs expenses,,Month -4 to 0,High,Final Vendor Payments,budget;tracking,Plan ahead for milestone payments
Final ticket sales push,Coordinate with Marketing on urgency messaging and remaining-ticket counts,,Month -2 to -1,High,Final Vendor Payments,tickets;marketing,2026 missed its sell-out-early goal; push earlier than feels necessary
Confirm walk-up registration plan,Keep registration open through the conference and confirm the day-of purchase flow with Venue,,Week -1,Medium,Final Vendor Payments,tickets;platform,Only a sellout closes registration. Blank badges plus label printer for walk-ups
Calculate attendance counts,Count paid registrations sponsored tickets speaker passes organizer passes comp tickets,,Week -1,High,Final Preparations,attendance;tracking,Provide to Venue and Community committees; refresh as late sales land
Provide head counts to vendors,Send final numbers to venue catering and networking event venue,,Week -1,High,Final Preparations,attendance;vendors,Needed for food orders and space planning
Confirm all vendor arrangements,Final check-in with venue A/V catering and networking event,,Week -1,High,Final Preparations,vendors;coordination,Verify everything on track
Final vendor payments,Process any remaining prepayments due before conference,,Week -1,Medium,Final Preparations,vendors;payments,Track what's paid vs outstanding
Chase outstanding sponsor payments,Follow up on any unpaid sponsor invoices,,Week -2 to 0,High,Final Preparations,sponsorship;payments,LESSON: chasing ran into conference week in both 2025 and 2026
Export attendee list from Pretix,Pull complete registration data for check-in process,,Week -1,High,Final Preparations,registration;data,Share with Venue Committee. Note dietary/accessibility needs
Create sponsor contact list,Compile day-of contacts for all sponsors,,Week -1,Medium,Final Preparations,sponsorship;day-of,Share with all organizers
Prepare sponsor deliverables checklist,Final verification that all sponsor commitments are on track,,Week -1,High,Final Preparations,sponsorship;tracking,Logo placement booth tickets pitch timing etc
Brief organizers on sponsor support,Ensure everyone knows sponsor names tiers and how to help them,,Week -1,Medium,Final Preparations,sponsorship;day-of,Sponsor satisfaction matters for retention
On-site registration sales,Process walk-up ticket purchases through Pretix. Track separately,,Day 0 to 2,Low,Conference Days,registration;day-of,Day-of paid swag runs through Pretix voucher QR codes not cash
Check in with sponsors,Visit each sponsor during conference ensure they have what they need handle issues,,Day 0 to 2,High,Conference Days,sponsorship;day-of,Build relationships for future years
Coordinate sponsor pitch timing,Work with Speaker Committee to execute sponsor pitches on schedule,,Day 0 to 2,Medium,Conference Days,sponsorship;day-of,A sponsor chaser rounds up pitch presenters each morning
Take sponsor table photos,Photograph sponsor booths for next year's prospectus,,Day 0 to 2,Low,Conference Days,sponsorship;photos,Marketing material for future
Track day-of expenses,Keep receipts for any emergency purchases supply runs tips parking etc,,Day 0 to 2,High,Conference Days,budget;tracking,Organize receipts in real-time
Gather sponsor feedback,Talk to sponsors during conference about their experience,,Day 0 to 2,Medium,Conference Days,sponsorship;feedback,Informal check-ins valuable
Collect final vendor invoices,Obtain invoices from venue A/V catering networking event and any other vendors,,Week +1,High,Financial Close-Out,vendors;invoices,Review for accuracy before payment
Process all final payments,Pay all outstanding vendor invoices promptly,,Week +1 to +4,High,Financial Close-Out,vendors;payments,Final A/V installment due about 3.5 weeks after the conference
Organize expense receipts,Gather and categorize all receipts by type,,Week +1,High,Financial Close-Out,expenses;documentation,Prepare for reconciliation and reporting
Enter all expenses in budget,Update the budget sheet with every expense. Compare actual to budgeted,,Week +1,High,Financial Close-Out,budget;tracking,Calculate variances for each category
Final ticket sales report,Pull complete sales data from Pretix all ticket types and revenue,,Week +1,High,Financial Close-Out,revenue;tracking,Reconcile with bank account
Confirm all sponsorship payments,Verify all sponsor commitments paid in full,,Week +1,High,Financial Close-Out,sponsorship;payments,Follow up on any outstanding amounts
Confirm grant funds received,Verify PSF and other grant funds deposited,,Week +1,Medium,Financial Close-Out,grants;tracking,Reconcile with budget
Calculate total revenue,Sum all revenue sources and reconcile with bank statements,,Week +2,High,Financial Close-Out,revenue;tracking,Actual revenue vs projected
Calculate net profit/loss,Final calculation: total revenue minus total expenses,,Week +2,High,Financial Close-Out,budget;reporting,Compare to the year's profit target
Create financial report,Full report: executive summary revenue breakdown expense breakdown metrics lessons learned,,Week +2,High,Financial Close-Out,budget;reporting,Share with the Conference Chair and Foundation Board
Prepare tax documentation,Organize all records receipts W-9s grant docs for tax filing,,Week +2,Medium,Financial Close-Out,taxes;documentation,Provide to foundation treasurer/accountant. A profitable year means tax work
Public sponsor thank you,Coordinate with Marketing on social media thank you posts,,Week +1,High,Post-Conference Sponsor Relations,sponsorship;thanks,Tag sponsors and share conference highlights
Email thank you to each sponsor,Personalized email with gratitude and highlights,,Week +1,High,Post-Conference Sponsor Relations,sponsorship;thanks,Individual attention appreciated
Create sponsor report,For each sponsor: attendance logo placements social reach website traffic booth interactions,,Week +2 to +4,High,Post-Conference Sponsor Relations,sponsorship;reporting,Demonstrate value delivered
Send sponsor reports,Email personalized report to each sponsor with thank you,,Week +3,High,Post-Conference Sponsor Relations,sponsorship;reporting,Request feedback on satisfaction
Request sponsor feedback,Survey on satisfaction what worked what to improve interest in next year,,Week +3,Medium,Post-Conference Sponsor Relations,sponsorship;feedback,Important for retention
Early outreach for next year,Contact previous sponsors about next year conference. Invite to sponsor again,,Week +4 to +8,Medium,Post-Conference Sponsor Relations,sponsorship;retention,Early commitment valuable for planning
Analyze financial performance,Review actual vs budget by category. Identify wins and areas for improvement,,Week +2,High,Retrospective & Planning,budget;retrospective,Data-driven improvements for next year
Document financial lessons learned,What exceeded expectations what fell short what processes worked what didn't,,Week +2,High,Retrospective & Planning,budget;retrospective,Feed the retro doc; it accumulates all year
Create budget recommendations,Suggest adjustments for next year based on actual performance,,Week +3,Medium,Retrospective & Planning,budget;planning,Pricing changes tier modifications process improvements
Update finance runbook,Add lessons learned update processes update vendor evaluations update templates,,Week +3,High,Retrospective & Planning,documentation;retrospective,Knowledge transfer for future years
Archive financial records,Organize and save all documentation per the Foundation's retention policy,,Week +3,Low,Retrospective & Planning,documentation;archive,Confirm the retention period with the treasurer
