Task Name,Description,Assignee,Due Date,Priority,Section,Tags,Notes
Plan email communication cadence,Schedule emails throughout cycle: CFP opening tickets schedule pre-conf reminders post-conf thanks survey,,Month -7,High,Attendee Communications Planning,email;planning,Regular touchpoints keep community engaged
Create email templates,Draft templates for all planned emails using consistent tone and branding,,Month -7,Medium,Attendee Communications Planning,email;templates,Templates in runbook can be customized. Ticket messaging must say which days each ticket covers
Integrate intake form into ticketing,Work with Finance to embed intake form IN ticket purchase (not separate form!),,Month -6,High,Attendee Communications Planning,registration;integration,Pretix setup starts around Month -5.5; early bird opens Dec 1
Test intake form integration,End-to-end test of ticket purchase with intake form data collection,,Month -5,High,Attendee Communications Planning,registration;testing,Verify all data captured correctly before early bird opens
Define virtual attendee offering,Clarify what virtual attendees get: livestream Discord access Slido Q&A recordings and pricing,,Month -6,Medium,Attendee Communications Planning,virtual;planning,350 was the 2025 cap; only ~30-48 sold or comped in 2025 and near zero in 2026. Size effort accordingly
Plan virtual attendee engagement,Create welcome message virtual role dedicated channel and encourage Q&A participation,,Month -6,Medium,Attendee Communications Planning,virtual;planning,Make virtual attendees feel included not forgotten
Create pre-conference email sequence,Draft 3 emails: 1 week before (logistics) 2-3 days before (details) day before (checklist),,Month -2,High,Community Engagement & Communications,email;content,Use templates from runbook
Schedule pre-conference emails,Set up emails to send automatically at right times or schedule manual sends,,Week -2,Medium,Community Engagement & Communications,email;scheduling,Coordinate timing with Marketing
Increase Discord pre-conference activity,Daily countdowns speaker intros sponsor highlights attendee intros to build excitement,,Month -3 to 0,Medium,Community Engagement & Communications,discord;engagement,Create #attending channel for networking
Pin important info in Discord,Pin conference schedule venue info Code of Conduct and FAQ in relevant channels,,Month -2,High,Community Engagement & Communications,discord;moderation,Easy access to critical information
Partner with local Python communities,Coordinate with the four Texas metro meetups: Austin DFW Houston San Antonio plus university clubs,,Month -4 to Week -3,Low,Community Engagement & Communications,community;outreach,2026 pinged all four metros; free virtual tickets for meetup organizers worked in 2025
Promote through meetups,Present at local meetups announce conference and encourage attendance/submissions,,Month -6 to Week -3,Low,Community Engagement & Communications,community;meetups,In-person promotion effective
Recruit networking format leaders,Recruit walk leaders for group lunches and plan Open Spaces or similar formats,,Month -3,Medium,Community Engagement & Communications,community;networking,2026 ran Open Spaces a Nature Walk and group lunches; survey asked for more formats
Plan chat and stream coverage,Name the primary streaming/chat operator plus at least one trained backup,,Month -2,High,Discord Moderation Planning,discord;moderators,LESSON: 2026 ran one person solo; a backup must know the YouTube and Discord workflow
Pick one day-of coordination tool,Choose a single chat tool for organizer coordination during the conference,,Month -2,High,Discord Moderation Planning,coordination;day-of,LESSON: 2024 juggled Discord Slack and Slido simultaneously; painful
Brief Discord moderators,Train on Code of Conduct moderation guidelines how to handle issues escalation and coverage,,Month -2,High,Discord Moderation Planning,discord;moderators;training,Clear expectations critical
Create moderator documentation,Write guidelines for what content not allowed warning vs ban procedures response times,,Month -2,Medium,Discord Moderation Planning,discord;documentation,Reference material for all moderators
Set up moderator-only channel,Create private Discord channel for moderator coordination and discussions,,Month -2,Low,Discord Moderation Planning,discord;setup,Internal communication important
Create CoC violation response templates,Draft response messages for different violation types,,Month -2,Medium,Discord Moderation Planning,coc;templates,Consistent professional responses
Establish escalation procedures,Define when and how to escalate to Conference Chair for serious issues,,Month -2,High,Discord Moderation Planning,coc;procedures,See the Code of Conduct runbook
Set up Slido for Q&A,Configure Slido with moderation settings to prevent spam. Decide per-session vs reusable,,Month -2,High,Discord Moderation Planning,slido;setup,Single-event license; test workflow thoroughly
Brief moderators on Slido,Train on approving questions filtering spam marking answered and archiving,,Month -2,Medium,Discord Moderation Planning,slido;training,Smooth Q&A process important
Send 1 week before email,Email with venue directions parking schedule food accessibility CoC and contacts,,Week -1,High,Final Preparations,email;communications,Use template from runbook. Coordinate with other committees
Increase Discord countdown activity,Daily posts with logistics last-minute details and excitement building,,Week -1,High,Final Preparations,discord;engagement,Maintain momentum
Monitor Discord for questions,Respond promptly to all questions. Pin common Q&A,,Week -1,High,Final Preparations,discord;support,Be very responsive this week
Test Discord bot one more time,Final verification all commands working before conference,,Week -1,High,Final Preparations,discord;testing,Catch any last issues
Verify all channels set up correctly,Final check of channel structure roles permissions and pinned info,,Week -1,Medium,Final Preparations,discord;setup,Everything ready for attendees
Confirm day-of coverage,Verify the primary streaming/chat operator and trained backup are set for all three days,,Week -1,High,Final Preparations,discord;moderators,LESSON: solo coverage without a backup is an illness away from no stream
Train backup streaming operator,Walk the backup through the full YouTube and Discord workflow end to end,,Week -2,High,Final Preparations,virtual;streaming,Backup must be able to run it alone
Send virtual attendee welcome,Email with livestream access Discord join instructions /register command Slido and schedule,,Week -1,High,Final Preparations,virtual;communications,Onboard virtual attendees properly
Run test stream,Full test of the streaming setup at least one week before the conference,,Week -1,High,Final Preparations,virtual;testing,LESSON: test stream a week ahead; go live 10-15 minutes early each day
Create post-conference survey,Build survey covering overall satisfaction talks venue food registration A/V virtual experience improvements,,Month -2,Medium,Final Preparations,survey;planning,Keep to 5-10 minutes. Mix rating scales and open-ended. It launches on the last conference day so build it early
Set up survey platform,Configure survey in Google Forms or preferred platform,,Month -2,Low,Final Preparations,survey;setup,Test form before distribution
Prepare survey distribution email,Draft email requesting feedback,,Month -1,Low,Final Preparations,survey;communications,Thank attendees and explain importance
Post Discord welcome message,Welcome everyone remind about CoC and provide key information,,Day 0 (Friday),High,Conference Days - Friday,discord;day-of,Set positive tone from start
Help virtual attendees get set up,Assist with Discord registration livestream access and any technical issues,,Day 0 (Friday),High,Conference Days - Friday,virtual;support,Proactive support prevents frustration
Start link compilation doc,Compile every link shared in conference-chat into one doc organized per day,,Day 0 (Friday),Medium,Conference Days - Friday,discord;documentation,Maintain through Sunday; the doc becomes a lasting artifact
Monitor channels for questions,Continuous monitoring and prompt responses throughout Friday,,Day 0 (Friday),High,Conference Days - Friday,discord;moderation,Be very responsive
Share behind-the-scenes content,Post photos updates and moments from conference throughout day,,Day 0 (Friday),Low,Conference Days - Friday,discord;engagement,Keep community engaged
Verify livestream working,Go live 10-15 minutes early check stream quality and troubleshoot issues,,Day 0 (Friday),High,Conference Days - Friday,virtual;operations,Stream quality critical for virtual experience
Continuous Discord moderation,Monitor all channels moderate content respond to questions throughout Saturday,,Day 1 (Saturday),High,Conference Days - Saturday,discord;moderation,Primary operator with trained backup on call
Moderate Slido questions,Review and approve questions before display. Filter spam mark answered archive after talks,,Day 1,High,Conference Days - Saturday,slido;moderation,Critical for smooth Q&A
Post speaker information as talks start,Share speaker name LinkedIn profile talk title as each session begins,,Day 1,High,Conference Days - Saturday,discord;engagement,LESSON: posting speaker links as talks progressed was well received in 2025
Share talk highlights and resources,Post key moments and links to resources mentioned in talks,,Day 1,Medium,Conference Days - Saturday,discord;engagement,Add every shared link to the compilation doc
Engage virtual attendees,Welcome encourage Q&A participation make them feel part of community,,Day 1,High,Conference Days - Saturday,virtual;engagement,Don't forget virtual attendees!
Be visible and available in-person,Answer questions direct to appropriate people facilitate networking,,Day 1,Medium,Conference Days - Saturday,community;day-of,Physical presence important
Monitor for CoC violations,Watch for violations address immediately document incidents escalate serious issues,,Day 1,High,Conference Days - Saturday,coc;enforcement,Follow the Code of Conduct runbook
Monitor social media mentions,Respond to questions on social platforms. Share highlights,,Day 1,Low,Conference Days - Saturday,social-media;monitoring,Coordinate with Marketing
Same as Saturday with coverage,Continue all Saturday activities with sustained energy,,Day 2 (Sunday),High,Conference Days - Sunday,day-of;operations,Maintain quality through closing
Launch post-event survey,Send survey email and post in Discord; mention in closing remarks,,Day 2 (Sunday),High,Conference Days - Sunday,survey;distribution,LESSON: survey launches on the last conference day (2026 practice)
Send thank you email to all attendees,Thank for attending share highlights photos announce recording timeline preview next year,,Week +1,High,Post-Conference Aftercare,communications;thanks,Gratitude and community building
Post thank you in Discord,Public appreciation for in-person and virtual attendees,,Week +1,Medium,Post-Conference Aftercare,discord;thanks,Keep Discord community active
Thank moderators and volunteers,Specific recognition for those who made it happen,,Week +1,High,Post-Conference Aftercare,thanks;volunteers,Appreciation important for retention
Keep Discord active post-conference,Share highlights post recordings share slides facilitate continued discussion,,Week +1 to +4,Medium,Post-Conference Aftercare,discord;engagement,Maintain community momentum
Share recording links as available,Post video links in Discord and coordinate with Speaker Committee on timing,,Week +2 to +4,High,Post-Conference Aftercare,content;sharing,Vendor delivers videos unlisted; each video and the playlist must be flipped public
Send survey reminder,One week after launch remind about survey deadline,,Week +1,Medium,Post-Conference Aftercare,survey;distribution,Response window is about 2 weeks
Send final survey reminder,2 days before deadline last chance to provide feedback,,Week +2,Low,Post-Conference Aftercare,survey;distribution,Final push for responses
Close survey after deadline,Stop accepting responses and begin analysis,,Week +2,High,Survey Analysis,survey;analysis,~50 responses is typical
Compile quantitative survey data,Calculate ratings scores and statistics from survey responses,,Week +3,High,Survey Analysis,survey;analysis,Numbers tell important story
Compile qualitative survey data,Review open-ended feedback identify themes patterns standout comments,,Week +3,High,Survey Analysis,survey;analysis,Quotes and themes valuable
Create survey summary document,Overall satisfaction category breakdowns key strengths areas for improvement action items,,Week +3,High,Survey Analysis,survey;reporting,Feeds the retro meeting
Share survey results with committees,Distribute summary to all committees Conference Chair and Foundation Board,,Week +3,High,Survey Analysis,survey;sharing,Transparency and data-driven decisions
Distribute per-speaker feedback,Compile Slido and feedback-form data per talk and send to each speaker,,Week +2,High,Post-Conference Aftercare,speakers;feedback,2026 used a Speaker Feedback Links doc; coordinate with Speaker Committee
Delete emergency-contact data,Remove attendee emergency-contact information collected at intake,,Week +1,High,Post-Conference Aftercare,privacy;registration,Collected for day-of safety only
Coordinate video publishing,Work with Speaker Committee on timeline and announcements,,Week +2 to +4,Medium,Post-Conference Aftercare,content;coordination,Timely publishing important
Email attendees with recording links,Announce availability of talk videos and slides,,Month +2,Medium,Post-Conference Aftercare,content;distribution,Timing depends on vendor delivery
Open pyvideo.org pull request,Submit recordings metadata to the pyvideo/data repo once videos publish,,Month +3,Low,Post-Conference Aftercare,content;recordings,Manual single-volunteer process; not automated
Archive conference-specific channels,After 2-4 weeks archive conference channels keep general channels active,,Week +4,Low,Post-Conference Aftercare,discord;maintenance,Clean up but maintain community
Analyze survey results for retrospective,Review feedback identify patterns and prepare insights for committee retrospective,,Week +3,High,Retrospective & Planning,retrospective;analysis,Critical input for improvements
Hold committee retrospective,Discuss survey results what worked what needs improvement attendee experience virtual experience Discord operations,,Week +2,High,Retrospective & Planning,retrospective;meeting,Retro meeting lands within ~2 weeks; the retro doc exists all year
Document communication lessons learned,What emails worked what Discord approaches effective what survey questions useful,,Week +3,High,Retrospective & Planning,retrospective;documentation,Continuous improvement
Update email templates,Refine templates based on what worked and attendee feedback,,Week +3,Medium,Retrospective & Planning,documentation;templates,Better templates for next year
Update Discord bot documentation,Document any issues encountered and manual workarounds used,,Week +3,Medium,Retrospective & Planning,documentation;discord,Help maintainers improve bot
Update moderation guidelines,Refine based on actual experience and any incidents,,Week +3,Low,Retrospective & Planning,documentation;coc,Clearer guidelines prevent issues
Update community runbook,Add all lessons learned update procedures update templates archive survey,,Week +3,High,Retrospective & Planning,documentation;retrospective,Knowledge transfer for future years
Coordinate year-round meetups,Continue monthly meetups to maintain community engagement between conferences,,Ongoing,Low,Year-Round Community Building,community;meetups,Ongoing community, beyond the conference
